filename,entropy,non_zero_bins,class
jpeg_data_single_12_S_291601_1026.csv,6.758335960075532,714,single
jpeg_data_single_12_S_186602_287.csv,6.638824617191673,261,single
jpeg_data_single_12_S_013062_72.csv,6.550365273968198,234,single
jpeg_data_single_12_S_103117_799.csv,6.547693422951015,565,single
jpeg_data_single_12_S_152444_696.csv,6.638238656189762,387,single
jpeg_data_single_12_S_301159_636.csv,6.244902151881249,112,single
jpeg_data_single_12_S_557545_717.csv,6.317961582394495,202,single
jpeg_data_single_12_S_255251_556.csv,8.109974974325532,1662,single
jpeg_data_single_12_S_423428_152.csv,6.664959706801878,523,single
jpeg_data_single_12_S_242647_762.csv,6.083825419317394,94,single
jpeg_data_single_12_S_288834_617.csv,7.481413197217006,1272,single
jpeg_data_single_12_S_376176_199.csv,6.306346759870457,297,single
jpeg_data_single_12_S_041550_350.csv,6.429040127039734,349,single
jpeg_data_single_12_S_030522_732.csv,6.353190291285827,335,single
jpeg_data_single_12_S_320689_1136.csv,6.129910690557294,110,single
jpeg_data_single_12_S_264253_809.csv,6.329030603469023,230,single
jpeg_data_single_12_S_103418_963.csv,6.591393992012747,389,single
jpeg_data_single_12_S_274045_680.csv,7.122428477022333,357,single
jpeg_data_single_12_S_512455_1016.csv,6.208650317476545,114,single
jpeg_data_single_12_S_493783_569.csv,6.61007548150168,224,single
jpeg_data_single_12_S_106912_982.csv,6.077152461675248,94,single
jpeg_data_single_12_S_022524_1037.csv,6.4324231780469585,383,single
jpeg_data_single_12_S_484013_201.csv,6.2258080400828,154,single
jpeg_data_single_12_S_025908_871.csv,6.3406534810843755,183,single
jpeg_data_single_12_S_251433_821.csv,6.290416864198043,211,single
jpeg_data_single_12_S_099576_401.csv,7.2468061192070925,725,single
jpeg_data_single_12_S_157492_187.csv,6.663396868443216,555,single
jpeg_data_single_12_S_212713_483.csv,6.262356255326751,176,single
jpeg_data_single_12_S_452780_763.csv,6.746327764152902,557,single
jpeg_data_single_12_S_003771_1050.csv,6.174067800570014,103,single
jpeg_data_single_12_S_480450_1088.csv,6.223674472026367,198,single
jpeg_data_single_12_S_332314_630.csv,6.3954664554438,204,single
jpeg_data_single_12_S_174336_282.csv,6.310095409326699,120,single
jpeg_data_single_12_S_166381_262.csv,6.368659503070197,477,single
jpeg_data_single_12_S_167086_1096.csv,5.977279923499917,63,single
jpeg_data_single_12_S_484732_539.csv,6.053602197784789,72,single
jpeg_data_single_12_S_007682_506.csv,7.309752113898002,718,single
jpeg_data_single_12_S_410963_500.csv,6.95061019033149,393,single
jpeg_data_single_12_S_298287_342.csv,7.367652917726612,841,single
jpeg_data_single_12_S_326179_158.csv,6.623431108448675,556,single
jpeg_data_single_12_S_371671_820.csv,6.457478880722732,389,single
jpeg_data_single_12_S_502463_943.csv,6.1536602509281275,146,single
jpeg_data_single_12_S_393673_635.csv,6.785037481212889,484,single
jpeg_data_single_12_S_397482_1082.csv,6.319737648284984,119,single
jpeg_data_single_12_S_075489_82.csv,7.496613592261035,1050,single
jpeg_data_single_12_S_561895_1146.csv,7.167244751070332,1097,single
jpeg_data_single_12_S_278706_833.csv,6.528976089899614,747,single
jpeg_data_single_12_S_028079_1069.csv,6.109259627008969,229,single
jpeg_data_single_12_S_406794_806.csv,6.753024634489368,345,single
jpeg_data_single_12_S_527123_355.csv,6.887429551738358,572,single
jpeg_data_single_12_S_158969_1008.csv,6.243225160620257,140,single
jpeg_data_single_12_S_388467_737.csv,6.799011124139142,661,single
jpeg_data_single_12_S_544174_894.csv,6.3493040115267085,201,single
jpeg_data_single_12_S_242936_746.csv,7.110137730266092,588,single
jpeg_data_single_12_S_117486_832.csv,6.603873691370188,391,single
jpeg_data_single_12_S_438305_1157.csv,6.2394062519317455,205,single
jpeg_data_single_12_S_568793_335.csv,7.000871141591383,444,single
jpeg_data_single_12_S_480385_1072.csv,6.263953288508589,214,single
jpeg_data_single_12_S_334660_1004.csv,6.530831492169946,302,single
jpeg_data_single_12_S_289538_165.csv,6.33959699685274,187,single
jpeg_data_single_12_S_063180_540.csv,6.184245047044535,158,single
jpeg_data_single_12_S_160870_1094.csv,6.2982654839053085,260,single
jpeg_data_single_12_S_194939_784.csv,6.1834263919107775,124,single
jpeg_data_single_12_S_251379_432.csv,6.5637013000501945,460,single
jpeg_data_single_12_S_447126_342.csv,6.178025109276877,124,single
jpeg_data_single_12_S_468505_1035.csv,6.680906440949205,285,single
jpeg_data_single_12_S_303722_1096.csv,6.495261606242805,505,single
jpeg_data_single_12_S_102220_1010.csv,6.511175870880787,216,single
jpeg_data_single_12_S_534228_597.csv,6.374231496351413,340,single
jpeg_data_single_12_S_423339_1114.csv,6.6463257945496546,427,single
jpeg_data_single_12_S_211856_517.csv,6.082569843173753,79,single
jpeg_data_single_12_S_557338_118.csv,6.27081247911687,332,single
jpeg_data_single_12_S_227286_386.csv,6.429566980977725,306,single
jpeg_data_single_12_S_536456_1100.csv,7.128204502054668,643,single
jpeg_data_single_12_S_134974_208.csv,6.51100523086915,217,single
jpeg_data_single_12_S_159190_1071.csv,6.707070024175398,316,single
jpeg_data_single_12_S_276497_151.csv,6.751276963830905,555,single
jpeg_data_single_12_S_462970_141.csv,7.390963658605545,1063,single
jpeg_data_single_12_S_167139_1136.csv,6.188546542745632,169,single
jpeg_data_single_12_S_200934_562.csv,6.206676500201218,190,single
jpeg_data_single_12_S_470343_980.csv,6.121732549777309,187,single
jpeg_data_single_12_S_254221_1083.csv,6.9077860818656465,315,single
jpeg_data_single_12_S_020207_502.csv,6.5907130146219925,323,single
jpeg_data_single_12_S_010337_279.csv,6.331572043745508,276,single
jpeg_data_single_12_S_045316_731.csv,6.402514479239173,332,single
jpeg_data_single_12_S_096651_529.csv,7.062108301440325,537,single
jpeg_data_single_12_S_544930_169.csv,6.667416702164499,383,single
jpeg_data_single_12_S_348688_649.csv,7.223709367155151,789,single
jpeg_data_single_12_S_171298_550.csv,6.250031758855568,144,single
jpeg_data_single_12_S_475549_128.csv,6.157373860352972,108,single
jpeg_data_single_12_S_528447_1112.csv,6.482018425999153,221,single
jpeg_data_single_12_S_063265_123.csv,6.013134265383667,74,single
jpeg_data_single_12_S_141749_52.csv,6.455686264337592,263,single
jpeg_data_single_12_S_338362_533.csv,6.382021186201575,368,single
jpeg_data_single_12_S_190045_921.csv,6.1959107870595735,175,single
jpeg_data_single_12_S_545896_1077.csv,6.304422543679582,302,single
jpeg_data_single_12_S_086473_738.csv,6.1850204633933155,212,single
jpeg_data_single_12_S_229387_685.csv,6.205142260954313,107,single
jpeg_data_single_12_S_423901_713.csv,6.39902963475505,204,single
jpeg_data_single_12_S_007260_333.csv,6.851814479411943,585,single
jpeg_data_single_12_S_330295_263.csv,6.236453808814174,170,single
jpeg_data_single_12_S_174582_892.csv,6.422213256671328,315,single
jpeg_data_single_12_S_116540_338.csv,6.097684921866942,96,single
jpeg_data_single_12_S_110305_772.csv,6.404154173964117,175,single
jpeg_data_single_12_S_309832_55.csv,6.562715125962872,545,single
jpeg_data_single_12_S_079899_452.csv,6.516157545721921,159,single
jpeg_data_single_12_S_076191_802.csv,6.725322060671203,530,single
jpeg_data_single_12_S_102752_234.csv,6.339348949076771,207,single
